;;;;;;;;;;;;;;;;;;;;;;;H;A;H;A;H;A
2019;11;Feb;01:30;USA;NBA;2018/2019;Golden State Warriors;Miami Heat;GSW;MIA;24;34;A;O;;;120;118;H;O;2;238;1,08;10,4;1,08;10,16;1,07;9,5
2019;11;Feb;00:30;USA;NBA;2018/2019;Atlanta Hawks;Orlando Magic;ATL;ORL;25;26;A;O;;;108;124;A;O;16;232;2,06;1,62;2,04;1,87;2,2;1,71
2019;10;Feb;23:00;USA;NBA;2018/2019;Sacramento Kings;Phoenix Suns;SAC;PHX;33;23;H;O;;;117;104;H;O;13;221;1,19;3,9;1,24;4,65;1,26;4
2019;10;Feb;20:30;USA;NBA;2018/2019;Philadelphia 76ers;Los Angeles Lakers;PHI;LAL;39;40;A;O;;;143;120;H;O;23;263;1,33;3;1,34;3,56;1,34;3,35
2019;10;Feb;20:00;USA;NBA;2018/2019;Dallas Mavericks;Portland Trail Blazers;DAL;POR;25;24;H;U;;;102;101;H;O;1;203;2,61;1,57;2,62;1,56;1,74;2,15
2019;10;Feb;02:00;USA;NBA;2018/2019;Milwaukee Bucks;Orlando Magic;MIL;ORL;19;20;A;U;;;83;103;A;U;20;186;1,09;5,7;1,13;7,22;1,12;6,5
2019;10;Feb;01:30;USA;NBA;2018/2019;Houston Rockets;Oklahoma City Thunder;HOU;OKC;28;25;H;O;;;112;117;A;O;5;229;1,82;2,12;1,81;2,11;1,8;2,05
2019;10;Feb;01:00;USA;NBA;2018/2019;Boston Celtics;Los Angeles Clippers;BOS;LAC;43;20;H;O;;;112;123;A;O;11;235;1,09;5,5;1,14;6,94;1,11;6,75
2019;10;Feb;01:00;USA;NBA;2018/2019;Chicago Bulls;Washington Wizards;CHI;WAS;32;34;A;O;;;125;134;A;O;9;259;1,99;1,64;2,2;1,75;2;1,83
2019;10;Feb;01:00;USA;NBA;2018/2019;Memphis Grizzlies;New Orleans Pelicans;MEM;NOP;20;28;A;U;;;99;90;H;U;9;189;1,63;2,04;1,7;2,29;1,8;2,05
2019;10;Feb;00:30;USA;NBA;2018/2019;Atlanta Hawks;Charlotte Hornets;ATL;CHA;31;46;A;O;;;120;129;A;O;9;249;2,16;1,66;2,27;1,71;2,2;1,71
2019;10;Feb;00:30;USA;NBA;2018/2019;New York Knicks;Toronto Raptors;NYK;TOR;23;25;A;U;;;99;104;A;O;5;203;7,3;1,14;6,87;1,14;5,25;1,18
2019;10;Feb;00:00;USA;NBA;2018/2019;Indiana Pacers;Cleveland Cavaliers;IND;CLE;30;17;H;U;;;105;90;H;U;15;195;1,03;7,8;1,08;10,44;1,05;11
2019;9;Feb;22:00;USA;NBA;2018/2019;Utah Jazz;San Antonio Spurs;UTA;SAS;23;24;A;U;;;125;105;H;O;20;230;1,32;2,9;1,43;3,06;1,4;3,05
2019;9;Feb;03:00;USA;NBA;2018/2019;Sacramento Kings;Miami Heat;SAC;MIA;17;28;A;U;;;102;96;H;U;6;198;1,58;2,15;1,73;2,24;1,68;2,25
2019;9;Feb;02:30;USA;NBA;2018/2019;New Orleans Pelicans;Minnesota Timberwolves;NOP;MIN;22;35;A;O;;;122;117;H;O;5;239;1,35;2,81;1,4;3,22;1,44;2,85
2019;9;Feb;02:00;USA;NBA;2018/2019;Phoenix Suns;Golden State Warriors;PHX;GSW;31;26;H;O;;;107;117;A;O;10;224;10,4;1,04;11,25;1,07;9;1,07
2019;9;Feb;01:30;USA;NBA;2018/2019;Dallas Mavericks;Milwaukee Bucks;DAL;MIL;29;29;D;O;;;107;122;A;O;15;229;3,76;1,33;3,95;1,3;3,9;1,27
2019;9;Feb;00:30;USA;NBA;2018/2019;Brooklyn Nets;Chicago Bulls;BKN;CHI;27;32;A;O;;;106;125;A;O;19;231;1,19;3,54;1,26;4,34;1,25;4,2
2019;9;Feb;00:00;USA;NBA;2018/2019;Detroit Pistons;New York Knicks;DET;NYK;41;22;H;O;;;120;103;H;O;17;223;1,23;3,46;1,26;4,34;1,26;4
